"organisasjonsnummer";"navn";"stiftelsesdato";"registreringsdatoEnhetsregisteret";"organisasjonsform";"hjemmeside";"registrertIFrivillighetsregisteret";"registrertIMvaregisteret";"registrertIForetaksregisteret";"registrertIStiftelsesregisteret";"frivilligRegistrertIMvaregisteret";"antallAnsatte";"institusjonellSektorkode.kode";"institusjonellSektorkode.beskrivelse";"naeringskode1.kode";"naeringskode1.beskrivelse";"naeringskode2.kode";"naeringskode2.beskrivelse";"naeringskode3.kode";"naeringskode3.beskrivelse";"postadresse.adresse";"postadresse.postnummer";"postadresse.poststed";"postadresse.kommunenummer";"postadresse.kommune";"postadresse.landkode";"postadresse.land";"forretningsadresse.adresse";"forretningsadresse.postnummer";"forretningsadresse.poststed";"forretningsadresse.kommunenummer";"forretningsadresse.kommune";"forretningsadresse.landkode";"forretningsadresse.land";"sisteInnsendteAarsregnskap";"konkurs";"underAvvikling";"underTvangsavviklingEllerTvangsopplosning";"overordnetEnhet"
990488452;"KEMNEREN I SARPSBORG";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 237";1702;"SARPSBORG";105;"SARPSBORG";"NO";"Norge";"Glengsgata 38";1706;"SARPSBORG";105;"SARPSBORG";"NO";"Norge";;"N";"N";"N";
990488460;"KEMNEREN I FREDRIKSTAD KOMMUNE";;2007-03-19;"ADOS";"www.fredrikstad.kommune.no";"N";"N";"N";"N";;0;;;;;;;;;"Postboks 1405";1602;"FREDRIKSTAD";106;"FREDRIKSTAD";"NO";"Norge";"Storgata 4";1607;"FREDRIKSTAD";106;"FREDRIKSTAD";"NO";"Norge";;"N";"N";"N";
990488479;"SKATTEOPPKREVEREN I HVALER KOMMUNE V/KEMNEREN I FREDRIKSTAD";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 1405";1602;"FREDRIKSTAD";106;"FREDRIKSTAD";"NO";"Norge";"V/Kemneren i Fredrikstad Storgata 4";1607;"FREDRIKSTAD";106;"FREDRIKSTAD";"NO";"Norge";;"N";"N";"N";
990488487;"SKATTEOPPKREVEREN I AREMARK KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"RÅDHUSET";1798;"AREMARK";118;"AREMARK";"NO";"Norge";;"N";"N";"N";
990488495;"SKATTEOPPKREVEREN I MARKER KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 114";1871;"ØRJE";119;"MARKER";"NO";"Norge";"Storgata 60";1870;"ØRJE";119;"MARKER";"NO";"Norge";;"N";"N";"N";
990488509;"SKATTEOPPKREVEREN I RØMSKOG KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;;1950;"RØMSKOG";121;"RØMSKOG";"NO";"Norge";;"N";"N";"N";
990488517;"SKATTEOPPKREVEREN I TRØGSTAD";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 34";1861;"TRØGSTAD";122;"TRØGSTAD";"NO";"Norge";"Kirkeveien 17";1860;"TRØGSTAD";122;"TRØGSTAD";"NO";"Norge";;"N";"N";"N";
990488525;"SKATTEOPPKREVEREN I SPYDEBERG KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Stasjonsgata 35";1820;"SPYDEBERG";123;"SPYDEBERG";"NO";"Norge";;"N";"N";"N";
990488770;"SKATTEOPPKREVEREN I GJERDRUM KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 10";2024;"GJERDRUM";234;"GJERDRUM";"NO";"Norge";"ASK";2022;"GJERDRUM";234;"GJERDRUM";"NO";"Norge";;"N";"N";"N";
990488533;"SKATTEOPPKREVEREN I ASKIM KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Kirkegata 5";1830;"ASKIM";124;"ASKIM";"NO";"Norge";;"N";"N";"N";
990488541;"SKATTEOPPKREVEREN I EIDSBERG KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Ordfører Voldens vei 1";1850;"MYSEN";125;"EIDSBERG";"NO";"Norge";;"N";"N";"N";
990488568;"SKATTEOPPKREVEREN I RAKKESTAD KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 264";1891;"RAKKESTAD";128;"RAKKESTAD";"NO";"Norge";"Rådhusveien 4";1890;"RAKKESTAD";128;"RAKKESTAD";"NO";"Norge";;"N";"N";"N";
990488576;"SKATTEOPPKREVEREN I RÅDE KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Larkollveien 9";1570;"DILLING";136;"RYGGE";"NO";"Norge";;"N";"N";"N";
990488584;"SKATTEOPPKREVEREN I RYGGE KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Larkollveien 9";1570;"DILLING";136;"RYGGE";"NO";"Norge";;"N";"N";"N";
990488592;"SKATTEOPPKREVEREN I VÅLER KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Larkollveien 9";1570;"DILLING";136;"RYGGE";"NO";"Norge";;"N";"N";"N";
990488606;"SKATTEOPPKREVEREN I HOBØL KOMMUNE";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;;1827;"HOBØL";138;"HOBØL";"NO";"Norge";;"N";"N";"N";
990488614;"KEMNEREN I FOLLO - VESTBY 0211";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 510";1411;"KOLBOTN";217;"OPPEGÅRD";"NO";"Norge";"Kolbotnveien 30";1410;"KOLBOTN";217;"OPPEGÅRD";"NO";"Norge";;"N";"N";"N";
990488622;"KEMNEREN I FOLLO - SKI 0213";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 510";1411;"KOLBOTN";217;"OPPEGÅRD";"NO";"Norge";"Kolbotnveien 30";1410;"KOLBOTN";217;"OPPEGÅRD";"NO";"Norge";;"N";"N";"N";
990488630;"KEMNEREN I FOLLO - ÅS 0214";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 510";1411;"KOLBOTN";217;"OPPEGÅRD";"NO";"Norge";"Kolbotnveien 30";1410;"KOLBOTN";217;"OPPEGÅRD";"NO";"Norge";;"N";"N";"N";
990488649;"KEMNEREN I FOLLO - FROGN 0215";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 510";1411;"KOLBOTN";217;"OPPEGÅRD";"NO";"Norge";"Kolbotnveien 30";1410;"KOLBOTN";217;"OPPEGÅRD";"NO";"Norge";;"N";"N";"N";
990488665;"KEMNEREN I FOLLO - OPPEGÅRD 0217";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 510";1411;"KOLBOTN";217;"OPPEGÅRD";"NO";"Norge";"Kolbotnveien 30";1410;"KOLBOTN";217;"OPPEGÅRD";"NO";"Norge";;"N";"N";"N";
990488657;"SKATTEOPPKREVEREN I NESODDEN KOMMUNE";;2007-03-19;"ADOS";"www.nesodden.kommune.no";"N";"N";"N";"N";;0;;;;;;;;;"Postboks 123";1451;"NESODDTANGEN";216;"NESODDEN";"NO";"Norge";"Kongleveien 2";1450;"NESODDTANGEN";216;"NESODDEN";"NO";"Norge";;"N";"N";"N";
990488673;"KEMNEREN I ASKER OG BÆRUM BÆRUM 0219";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;1304;"SANDVIKA";219;"BÆRUM";"NO";"Norge";"Otto Sverdrups plass 3";1337;"SANDVIKA";219;"BÆRUM";"NO";"Norge";;"N";"N";"N";
990488703;"SKEDSMO KEMNERKONTOR - 0226 SØRUM";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 313";2001;"LILLESTRØM";231;"SKEDSMO";"NO";"Norge";"Jonas Lies gate 18";2000;"LILLESTRØM";231;"SKEDSMO";"NO";"Norge";;"N";"N";"N";
990488738;"KEMNEREN I FOLLO - ENEBAKK 0229";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 510";1411;"KOLBOTN";217;"OPPEGÅRD";"NO";"Norge";"Kolbotnveien 30";1410;"KOLBOTN";217;"OPPEGÅRD";"NO";"Norge";;"N";"N";"N";
990488754;"KEMNEREN I SKEDSMO";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;;;;;;;;"Jonas Lies gate 18";2000;"LILLESTRØM";231;"SKEDSMO";"NO";"Norge";;"N";"N";"N";
990488797;"KEMNEREN I NES";;2007-03-19;"ADOS";;"N";"N";"N";"N";;0;;;;;;;;;"Postboks 114";2151;"ÅRNES";236;"NES";"NO";"Norge";"Rådhusgata 2";2150;"ÅRNES";236;"NES";"NO";"Norge";;"N";"N";"N";
